,S.N.,Symbol,Company,Units,Price,Opening Date,Closing Date,Status,View
0,1,MSHCL,Mid Solu Hydropower Company Limited,621172.0,100.0,2023-09-14,2023-09-18,Coming Soon,
1,2,HINL,Hathway Investment Nepal Limited,2427750.0,50.0,2023-09-07,2023-09-11,Closed,
2,3,VLCL,Vision Lumbini Urja Company Limited,3825000.0,100.0,Coming Soon,Coming Soon,Coming Soon,
3,4,CLICL,Citizen Life Insurance Company Limited,9000000.0,244.0,2023-09-01,2023-09-05,Closed,
4,5,MAHL,Mandu Hydropower Limited,1205320.0,206.0,2023-08-27,2023-08-30,Closed,
